NO :,Nom,Prenom,Date de naissance,Pays,Grand Chelem :,Récompense olympique :,Récompense personnel :,Image
1,NADAL,Rafael,03/06/86,Espagne,22 Grand Chelems,1 médaille d’Or,92 Titres,../ressources/sportif/tennis/nadal.txt
2,DJOKOVIC,Novak,22/05/87,Serbe,21 Grand Chelems,1 médaille de bronze,91 Titres,../ressources/sportif/tennis/djokovic.txt
3,FEDERER,Roger,08/08/81,Suisse,20 Grands Chelems,1 médaille d’Argent,103 Titres,../ressources/sportif/tennis/federer.txt
4,NOAH,Yannick,18/05/60,France,1 Grand Chelem,Pas de récompense olympique,23 Titres,../ressources/sportif/tennis/noah.txt
5,MONFILS,Gael,01/09/86,France,Aucun Grand Chelem,Pas de récompense olympique,11 Titres,../ressources/sportif/tennis/monfils.txt
6,ALCARAZ,Carlos,05/05/03,Espagne,1 Grand Chelem,Pas de récompense olympique,6 Titres,../ressources/sportif/tennis/alcaraz.txt
7,BERRETINI,Matteo,12/04/96,Italie,Aucun Grand Chelem,Pas de récompense olympique,9 Titres,../ressources/sportif/tennis/berretini.txt
8,CILIC,Martin,28/09/88,Croatie,1 Grand Chelem,1 médaille d’Argent,20 Titres,../ressources/sportif/tennis/cilic.txt
9,FRITZ,Taylor,28/10/97,Etats-Unis,Aucun Grand Chelem,Pas de récompense olympique,4 Titres,../ressources/sportif/tennis/fritz.txt
10,HURKACZ,Hubert,11/02/97,Pologne,Aucun Grand Chelem,Pas de récompense olympique,5 Titres,../ressources/sportif/tennis/hurkacz.txt
11,KECMANOVIC,Miomir,31/08/99,Serbe,Aucun Grand Chelem,Pas de récompense olympique,1 Titre,../ressources/sportif/tennis/kecmanovic.txt
12,KYRGIOS,Nick,27/04/95,Australie,Aucun Grand Chelem,Pas de récompense olympique,7 Titres,../ressources/sportif/tennis/kyrgios.txt
13,MANNARINO,Adrian,29/06/88,France,Aucun Grand Chelem,Pas de récompense olympique,2 Titres,../ressources/sportif/tennis/mannarino.txt
14,MEDVEDEV,Daniil,11/02/96,Russie,1 Grand Chelem,Pas de récompense olympique,15 Titres,../ressources/sportif/tennis/medvedev.txt
15,MURRAY,Andy,15/05/87,Royaume-Uni,3 Grand Chelem,2 médailles d’Or,46 Titres,../ressources/sportif/tennis/murray.txt
16,NISHIOKA,Yoshihito,27/09/95,Japon,Aucun Grand Chelem,Pas de récompense olympique,2 Titres,../ressources/sportif/tennis/nishioka.txt
17,NORRIE,Cameron,23/08/95,Royaume-Uni,Aucun Grand Chelem,Pas de récompense olympique,4 Titres,../ressources/sportif/tennis/norrie.txt
18,RUDD,Casper,22/12/98,Dannemark,Aucun Grand Chelem,Pas de récompense olympique,9 Titres,../ressources/sportif/tennis/rudd.txt
19,RUNE,Holger,29/04/03,Dannemark,Aucun Grand Chelem,Pas de récompense olympique,3 Titres,../ressources/sportif/tennis/rune.txt
20,SCHWARTZMAN,Diego,16/08/92,Argentine,Aucun Grand Chelem,Pas de récompense olympique,4 Titres,../ressources/sportif/tennis/schwartzman.txt
21,SHAPOVALOV,Denis,15/04/99,Canada,Aucun Grand Chelem,Pas de récompense olympique,1 Titre,../ressources/sportif/tennis/shapovalov.txt
22,TIAFOE,Frances,20/01/98,Etats-Unis,Aucun Grand Chelem,Pas de récompense olympique,1 Titre,../ressources/sportif/tennis/tiafoe.txt
23,TSITSIPAS,Stefanos,12/08/98,Grece,Aucun Grand Chelem,Pas de récompense olympique,9 Titres,../ressources/sportif/tennis/tsitsipas.txt
24,VAN DE ZANDSCHULP,Botic,04/10/95,Pays-Bas,Aucun Grand Chelem,Pas de récompense olympique,Pas de Titres,../ressources/sportif/tennis/van_de_zandschulp.txt
25,ZVEREV,Alexander,20/04/97,Allemagne,Aucun Grand Chelem,1 médaille d’Or,19 Titres,../ressources/sportif/tennis/zverev.txt
